outcome,lag,model,beta,se,t,p,sig,mean_y,pct_of_mean,n
DOFE log(permits+1),0,M1,-0.0708,0.0174,-4.07,1e-4,***,8.1928,-0.86,975
DOFE log(permits+1),0,M2,0.2046,0.0552,3.71,4e-4,***,8.1928,2.5,975
DOFE log(permits+1),0,M3,0.1856,0.0509,3.65,5e-4,***,8.1928,2.27,975
DOFE log(permits+1),0,M4,0.1596,0.0507,3.15,0.0024,***,8.2217,1.94,962
DOFE log(permits+1),1,M1,-0.0806,0.0186,-4.34,0,***,8.1928,-0.98,975
DOFE log(permits+1),1,M2,0.2524,0.0669,3.77,3e-4,***,8.1928,3.08,975
DOFE log(permits+1),1,M3,0.2316,0.068,3.4,0.0011,***,8.1928,2.83,975
DOFE log(permits+1),1,M4,0.1826,0.0615,2.97,0.004,***,8.2217,2.22,962
DOFE log(permits+1),2,M1,-0.0817,0.0188,-4.35,0,***,8.1928,-1,975
DOFE log(permits+1),2,M2,0.2021,0.0682,2.96,0.0041,***,8.1928,2.47,975
DOFE log(permits+1),2,M3,0.1896,0.0696,2.72,0.008,***,8.1928,2.31,975
DOFE log(permits+1),2,M4,0.1421,0.0596,2.38,0.0197,**,8.2217,1.73,962
DOFE log(permits+1),3,M1,-0.0753,0.0179,-4.22,1e-4,***,8.1928,-0.92,975
DOFE log(permits+1),3,M2,0.135,0.0627,2.15,0.0347,**,8.1928,1.65,975
DOFE log(permits+1),3,M3,0.1289,0.0622,2.07,0.0419,**,8.1928,1.57,975
DOFE log(permits+1),3,M4,0.0859,0.0607,1.41,0.1616,,8.2217,1.04,962
RVS has_migrant_intl,0,M1,-0.0053,0.004,-1.34,0.1862,,0.3235,-1.64,17362
RVS has_migrant_intl,0,M2,-0.0027,0.0303,-0.09,0.9302,,0.3235,-0.83,17362
RVS has_migrant_intl,0,M3,-0.0186,0.0258,-0.72,0.4743,,0.3235,-5.75,17362
RVS has_migrant_intl,0,M4,-0.0218,0.0318,-0.68,0.4967,,0.3245,-6.72,17191
RVS has_migrant_intl,1,M1,0.0087,0.0078,1.11,0.2709,,0.3235,2.69,17362
RVS has_migrant_intl,1,M2,-0.0082,0.0431,-0.19,0.8508,,0.3235,-2.52,17362
RVS has_migrant_intl,1,M3,-0.0257,0.0417,-0.62,0.5409,,0.3235,-7.95,17362
RVS has_migrant_intl,1,M4,0.0036,0.0406,0.09,0.9301,,0.3245,1.1,17191
RVS has_migrant_intl,2,M1,0.0031,0.0081,0.38,0.7072,,0.3235,0.95,17362
RVS has_migrant_intl,2,M2,-0.0032,0.0152,-0.21,0.8337,,0.3235,-0.99,17362
RVS has_migrant_intl,2,M3,-0.0098,0.0147,-0.67,0.507,,0.3235,-3.04,17362
RVS has_migrant_intl,2,M4,3e-4,0.0143,0.02,0.9858,,0.3245,0.08,17191
RVS has_migrant_intl,3,M1,0.0041,0.0041,1,0.3245,,0.3235,1.25,17362
RVS has_migrant_intl,3,M2,-0.0019,0.0101,-0.19,0.8513,,0.3235,-0.59,17362
RVS has_migrant_intl,3,M3,-0.0045,0.0096,-0.47,0.6418,,0.3235,-1.39,17362
RVS has_migrant_intl,3,M4,0.002,0.0094,0.21,0.8334,,0.3245,0.61,17191
RVS n_intl_migrants,0,M1,-0.0064,0.0068,-0.95,0.3463,,0.4149,-1.55,17362
RVS n_intl_migrants,0,M2,-0.0228,0.0481,-0.47,0.6378,,0.4149,-5.5,17362
RVS n_intl_migrants,0,M3,-0.038,0.0491,-0.77,0.4425,,0.4149,-9.17,17362
RVS n_intl_migrants,0,M4,-0.033,0.0447,-0.74,0.4638,,0.416,-7.94,17191
RVS n_intl_migrants,1,M1,0.0169,0.0121,1.39,0.1709,,0.4149,4.07,17362
RVS n_intl_migrants,1,M2,0.0093,0.0702,0.13,0.8949,,0.4149,2.25,17362
RVS n_intl_migrants,1,M3,-0.0288,0.0708,-0.41,0.6859,,0.4149,-6.94,17362
RVS n_intl_migrants,1,M4,0.0197,0.07,0.28,0.7793,,0.416,4.74,17191
RVS n_intl_migrants,2,M1,0.0147,0.0123,1.19,0.2386,,0.4149,3.54,17362
RVS n_intl_migrants,2,M2,0.0022,0.0247,0.09,0.9297,,0.4149,0.53,17362
RVS n_intl_migrants,2,M3,-0.0117,0.0247,-0.47,0.6386,,0.4149,-2.81,17362
RVS n_intl_migrants,2,M4,0.0052,0.0244,0.21,0.832,,0.416,1.25,17191
RVS n_intl_migrants,3,M1,0.007,0.0063,1.1,0.2757,,0.4149,1.68,17362
RVS n_intl_migrants,3,M2,0.0031,0.0166,0.18,0.8541,,0.4149,0.74,17362
RVS n_intl_migrants,3,M3,-0.0041,0.017,-0.24,0.8104,,0.4149,-0.99,17362
RVS n_intl_migrants,3,M4,0.0059,0.0163,0.36,0.7218,,0.416,1.41,17191
RVS log(remit_intl+1),0,M1,-0.1977,0.0812,-2.44,0.0185,**,3.3521,-5.9,17362
RVS log(remit_intl+1),0,M2,0.3859,0.5411,0.71,0.4791,,3.3521,11.51,17362
RVS log(remit_intl+1),0,M3,0.5341,0.5303,1.01,0.3189,,3.3521,15.93,17362
RVS log(remit_intl+1),0,M4,-0.0143,0.4393,-0.03,0.9742,,3.3654,-0.42,17191
RVS log(remit_intl+1),1,M1,0.2397,0.1404,1.71,0.0941,*,3.3521,7.15,17362
RVS log(remit_intl+1),1,M2,-0.6164,0.5596,-1.1,0.276,,3.3521,-18.39,17362
RVS log(remit_intl+1),1,M3,-0.6409,0.5943,-1.08,0.2862,,3.3521,-19.12,17362
RVS log(remit_intl+1),1,M4,-0.0893,0.5424,-0.16,0.8699,,3.3654,-2.65,17191
RVS log(remit_intl+1),2,M1,-0.0346,0.0745,-0.46,0.645,,3.3521,-1.03,17362
RVS log(remit_intl+1),2,M2,-0.2078,0.1898,-1.09,0.2789,,3.3521,-6.2,17362
RVS log(remit_intl+1),2,M3,-0.2131,0.2016,-1.06,0.2956,,3.3521,-6.36,17362
RVS log(remit_intl+1),2,M4,-0.0331,0.1886,-0.18,0.8613,,3.3654,-0.98,17191
RVS log(remit_intl+1),3,M1,0.1206,0.0777,1.55,0.1269,,3.3521,3.6,17362
RVS log(remit_intl+1),3,M2,-0.1694,0.1553,-1.09,0.2808,,3.3521,-5.05,17362
RVS log(remit_intl+1),3,M3,-0.1871,0.162,-1.15,0.2537,,3.3521,-5.58,17362
RVS log(remit_intl+1),3,M4,-0.0232,0.1349,-0.17,0.8642,,3.3654,-0.69,17191
