outcome,threshold,beta,se,pval,n,n_unit,n_muni,mean_y,sd_y,stars,beta_pp,pct_of_mean
owns_plough,0,-0.015440677178951893,0.044547723558328006,0.7288996884081196,9275,4456,281,0.6200539083557951,0.485399281055675,,-1.5440677178951894,-2.490215281425471
owns_plough,25,0.00824076027353832,0.05835950584742251,0.8877163622262665,5895,2973,191,0.519253604749788,0.49967154394235613,,0.824076027353832,1.5870395887784512
owns_plough,50,-0.018374794647256523,0.05916452462459861,0.756152353979112,5160,2620,169,0.5135658914728682,0.49986437152484287,,-1.8374794647256523,-3.5778845426356094
owns_plough,100,0.019894874072894125,0.049855456586636565,0.6898972696505226,4189,2125,133,0.5130102649797088,0.49989037493521193,,1.9894874072894124,3.878065495176988
owns_powered_machinery,0,0.010633407437472105,0.013200837601547251,0.42056532258390145,9275,4456,281,0.026954177897574125,0.16195826090493545,,1.0633407437472104,39.44994159302151
owns_powered_machinery,25,-0.002365658542146606,0.01924251172495498,0.9021637787039851,5895,2973,191,0.03409669211195929,0.18149296249049404,,-0.2365658542146606,-6.938088112415046
owns_powered_machinery,50,-0.020278196445643062,0.024625015855735205,0.41031330805920163,5160,2620,169,0.03217054263565892,0.1764699238470345,,-2.0278196445643064,-63.03342991537241
owns_powered_machinery,100,-0.022549611994459273,0.014543871192071418,0.12118732762449236,4189,2125,133,0.02578180950107424,0.15850269776604023,,-2.254961199445927,-87.46326355999064
owns_irrigation_kit,0,0.03153715046659473,0.049613510814336396,0.5250306530953681,9275,4456,281,0.09919137466307278,0.2989349102751163,,3.1537150466594728,31.794246801920227
owns_irrigation_kit,25,0.05442928889118679,0.0683724985667386,0.42605653720184544,5895,2973,191,0.10636132315521629,0.30832566941856965,,5.442928889118679,51.17394864649859
owns_irrigation_kit,50,0.038169842209222406,0.08532716294908584,0.6546715278498767,5160,2620,169,0.112015503875969,0.3154160922560212,,3.8169842209222407,34.075499273285054
owns_irrigation_kit,100,0.00783933136063989,0.10628273589906058,0.9412091995071794,4189,2125,133,0.11028885175459537,0.31328685102347736,,0.783933136063989,7.1079997986408
n_irrigation_types,0,0.03697787645532123,0.06308493144469526,0.5577954327575079,9275,4456,281,0.11137466307277628,0.3515193880963868,,3.6977876455321232,33.20133631395009
n_irrigation_types,25,0.07274267205518689,0.08290162876448003,0.3803107472106573,5895,2973,191,0.11840542832909245,0.35893581422780013,,7.274267205518689,61.435250969244514
n_irrigation_types,50,0.03857035338631019,0.09545574114715848,0.6861989964911812,5160,2620,169,0.1251937984496124,0.3691759882400167,,3.8570353386310186,30.80851756553569
n_irrigation_types,100,0.013872133502924265,0.11919890268598149,0.9073643845804973,4189,2125,133,0.1241346383385056,0.37003639178784564,,1.3872133502924264,11.175070623798028
log_total_input_cost_rs,0,0.01695512940779675,0.45477841492818,0.9702606796637872,17144,5906,281,5.995872528972144,4.077483076879696,,1.695512940779675,0.28278001785176915
log_total_input_cost_rs,25,-0.47258017296255495,0.3742621951963579,0.20673529974111648,11979,4130,191,6.354399313202611,3.977070090875567,,-47.258017296255495,-7.437055017626442
log_total_input_cost_rs,50,-0.7033268494151987,0.3790651279615013,0.0635779184814893,10624,3657,169,6.343639480470556,3.9908242238027163,*,-70.33268494151987,-11.08711886260957
log_total_input_cost_rs,100,-0.8311757302172251,0.41628720877705094,0.04591244584085463,8597,2956,133,6.270550865472319,4.0082895351827155,**,-83.1175730217225,-13.255226662683617
input_intensity_per_sqm,0,0.4460932148797107,0.4407806986743952,0.3115420740380097,13494,5067,281,2.5169045381411195,7.149074915369999,,44.60932148797107,17.723882972898785
input_intensity_per_sqm,25,0.7590906526240655,0.6820071881259426,0.26574462492114526,9252,3500,191,2.86538584130925,8.261665512174455,,75.90906526240656,26.491742985552772
input_intensity_per_sqm,50,0.5099133020637207,0.5589935875613633,0.36170720460290084,8221,3104,169,2.803471752478894,8.536298077220113,,50.99133020637206,18.18863705735018
input_intensity_per_sqm,100,0.22865791227602092,0.46500456079583913,0.6229346331307346,6632,2501,133,2.6583065992920445,8.688291936909755,,22.86579122760209,8.601638063002842
log_wet_cost_fert,0,-0.03424602761922002,0.5221843641084297,0.9477117358722043,15819,5851,281,4.2739857012281,3.7591655382428657,,-3.424602761922002,-0.8012667803118682
log_wet_cost_fert,25,-0.2637532924343488,0.44822186095285776,0.5562538943410935,10980,4082,191,4.467191933382925,3.7349252729638227,,-26.37532924343488,-5.904230137580257
log_wet_cost_fert,50,-0.3601897375230199,0.41532164435274205,0.38583642195547285,9749,3620,169,4.3596865378460645,3.748407590575233,,-36.01897375230199,-8.261826495924504
log_wet_cost_fert,100,-0.5733625526274901,0.46216130567411107,0.21480844741445781,7874,2927,133,4.2134258082901415,3.7361564377761884,,-57.33625526274901,-13.607989762140074
log_dry_cost_fert,0,-0.11957638602988437,0.36869299533820726,0.7456987517942348,15819,5851,281,3.0243041673060653,3.627293925762495,,-11.957638602988437,-3.9538478742499783
log_dry_cost_fert,25,-0.12584385861844188,0.4732776011894255,0.7903252627113901,10980,4082,191,3.0920715515743225,3.6318190707849447,,-12.584385861844188,-4.069888310132044
log_dry_cost_fert,50,-0.5581129476305023,0.41500526777440766,0.17872897305245927,9749,3620,169,3.0054307761546823,3.6090965384466447,,-55.811294763050235,-18.57014814843227
log_dry_cost_fert,100,-0.5852300814961683,0.42259554464931104,0.16616203734327106,7874,2927,133,2.9071366311965705,3.561359144427607,,-58.52300814961683,-20.130807586270514
log_wet_cost_seed,0,0.37558977355688206,0.4178881326465018,0.368791256656958,15819,5851,281,1.911391046848766,3.163230319741726,,37.55897735568821,19.65007496378629
log_wet_cost_seed,25,-0.4204433353301541,0.3923368272483966,0.28391994085820693,10980,4082,191,1.9851754396753372,3.224023829921618,,-42.04433353301541,-21.179152579024198
log_wet_cost_seed,50,-0.5278779414642512,0.38966221956482056,0.1755611913256927,9749,3620,169,1.9143900186489589,3.1897224523830707,,-52.787794146425114,-27.57421091428329
log_wet_cost_seed,100,-0.5330483143378603,0.4519764901114022,0.23830712654197272,7874,2927,133,1.8446698543166005,3.1418162133495193,,-53.30483143378603,-28.89667834547771
log_dry_cost_seed,0,0.2362302397537648,0.4187763868079139,0.572701266201495,15819,5851,281,1.925605790852095,3.102517574521113,,23.62302397537648,12.267840119510192
log_dry_cost_seed,25,-1.1864973482981558,0.47807034138606835,0.013094045982108726,10980,4082,191,1.9373312307555433,3.1193039947899996,**,-118.64973482981557,-61.24390757048972
log_dry_cost_seed,50,-1.3498708199209006,0.43047600077346815,0.0017222117870452358,9749,3620,169,1.8966551270257144,3.0931294317842855,***,-134.98708199209005,-71.17112651037056
log_dry_cost_seed,100,-1.0731262606399612,0.4663638953943306,0.02143041031912607,7874,2927,133,1.8891600434424851,3.0819093095743684,**,-107.31262606399612,-56.80441232943281
log_wet_cost_labour,0,0.0017953100811800178,0.3828199622385384,0.9962582699853244,15819,5851,281,3.3947413676396287,3.9776796220610193,,0.1795310081180018,0.05288503266533972
log_wet_cost_labour,25,-0.0352646176577419,0.4735530569936358,0.9406400533821886,10980,4082,191,3.917391964628042,4.042042641582979,,-3.52646176577419,-0.9002065143381762
log_wet_cost_labour,50,-0.20151691833433583,0.4842336674727232,0.6773102153852364,9749,3620,169,4.03937801905255,4.050970020088517,,-20.15169183343358,-4.988810588755006
log_wet_cost_labour,100,-0.7686048244351366,0.535707333897371,0.15142251007362706,7874,2927,133,4.116131471571433,4.037469093861271,,-76.86048244351366,-18.672990154556533
log_dry_cost_labour,0,-0.1300998838588759,0.34189007287854806,0.7035591709045557,15819,5851,281,2.105505346462797,3.451842589689469,,-13.009988385887588,-6.179033649923561
log_dry_cost_labour,25,0.2258685118387398,0.41600265906635037,0.5871820431859895,10980,4082,191,2.4040877078706866,3.6031914578338653,,22.58685118387398,9.39518600337559
log_dry_cost_labour,50,-0.07531564195865711,0.42743621622561934,0.8601401247192944,9749,3620,169,2.463461558481257,3.6286490140524044,,-7.531564195865712,-3.0573094067313065
log_dry_cost_labour,100,-0.5109224970874755,0.45500164964818846,0.26153362376313494,7874,2927,133,2.5031768015586926,3.6317748268893792,,-51.09224970874755,-20.410963251550243
